Gewest,Jaar,Jaar_dt,Data_Type,Aantal oprichtingen,Aantal schrappingen,Aantal btw-plichtige
Vlaams Gewest,2008,2008-01-01,Yearly,5576.0,3366.0,61689.0
Vlaams Gewest,2009,2009-01-01,Yearly,4914.0,3786.0,62934.0
Vlaams Gewest,2010,2010-01-01,Yearly,5279.0,3727.0,64757.0
Vlaams Gewest,2011,2011-01-01,Yearly,5610.0,3877.0,66759.0
Vlaams Gewest,2012,2012-01-01,Yearly,5122.0,3966.0,67991.0
Vlaams Gewest,2013,2013-01-01,Yearly,4811.0,4393.0,68555.0
Vlaams Gewest,2014,2014-01-01,Yearly,5350.0,4664.0,69372.0
Vlaams Gewest,2015,2015-01-01,Yearly,5465.0,4046.0,71070.0
Vlaams Gewest,2016,2016-01-01,Yearly,5907.0,3820.0,73464.0
Vlaams Gewest,2017,2017-01-01,Yearly,6194.0,4141.0,75785.0
Vlaams Gewest,2018,2018-01-01,Yearly,7006.0,4412.0,78753.0
Vlaams Gewest,2019,2019-01-01,Yearly,9893.0,4977.0,83713.0
Vlaams Gewest,2020,2020-01-01,Yearly,11286.0,5120.0,89480.0
Vlaams Gewest,2021,2021-01-01,Yearly,12645.0,6112.0,96740.0
Vlaams Gewest,2022,2022-01-01,Yearly,11668.0,6952.0,102045.0
Vlaams Gewest,2023,2023-01-01,Yearly,11852.0,8160.0,106055.0
Brussels Hoofdstedelijk Gewest,2008,2008-01-01,Yearly,1028.0,586.0,8602.0
Brussels Hoofdstedelijk Gewest,2009,2009-01-01,Yearly,1049.0,711.0,8893.0
Brussels Hoofdstedelijk Gewest,2010,2010-01-01,Yearly,1128.0,621.0,9295.0
Brussels Hoofdstedelijk Gewest,2011,2011-01-01,Yearly,1382.0,703.0,9883.0
Brussels Hoofdstedelijk Gewest,2012,2012-01-01,Yearly,1481.0,766.0,10453.0
Brussels Hoofdstedelijk Gewest,2013,2013-01-01,Yearly,1706.0,940.0,11078.0
Brussels Hoofdstedelijk Gewest,2014,2014-01-01,Yearly,1892.0,974.0,11905.0
Brussels Hoofdstedelijk Gewest,2015,2015-01-01,Yearly,1908.0,1053.0,12600.0
Brussels Hoofdstedelijk Gewest,2016,2016-01-01,Yearly,1927.0,964.0,13318.0
Brussels Hoofdstedelijk Gewest,2017,2017-01-01,Yearly,1886.0,1189.0,13764.0
Brussels Hoofdstedelijk Gewest,2018,2018-01-01,Yearly,1936.0,1274.0,14174.0
Brussels Hoofdstedelijk Gewest,2019,2019-01-01,Yearly,1603.0,1301.0,14108.0
Brussels Hoofdstedelijk Gewest,2020,2020-01-01,Yearly,1464.0,1096.0,14186.0
Brussels Hoofdstedelijk Gewest,2021,2021-01-01,Yearly,1384.0,1126.0,14254.0
Brussels Hoofdstedelijk Gewest,2022,2022-01-01,Yearly,1235.0,1170.0,14022.0
Brussels Hoofdstedelijk Gewest,2023,2023-01-01,Yearly,1136.0,1231.0,13701.0
Waals Gewest,2008,2008-01-01,Yearly,2626.0,1941.0,28914.0
Waals Gewest,2009,2009-01-01,Yearly,2341.0,2176.0,29194.0
Waals Gewest,2010,2010-01-01,Yearly,2458.0,2026.0,29763.0
Waals Gewest,2011,2011-01-01,Yearly,2839.0,2118.0,30639.0
Waals Gewest,2012,2012-01-01,Yearly,2725.0,2129.0,31271.0
Waals Gewest,2013,2013-01-01,Yearly,2516.0,2404.0,31486.0
Waals Gewest,2014,2014-01-01,Yearly,2649.0,2426.0,31796.0
Waals Gewest,2015,2015-01-01,Yearly,2779.0,2311.0,32360.0
Waals Gewest,2016,2016-01-01,Yearly,2858.0,2121.0,33240.0
Waals Gewest,2017,2017-01-01,Yearly,3024.0,2368.0,33945.0
Waals Gewest,2018,2018-01-01,Yearly,2783.0,2309.0,34578.0
Waals Gewest,2019,2019-01-01,Yearly,2817.0,2560.0,34906.0
Waals Gewest,2020,2020-01-01,Yearly,2997.0,2114.0,35807.0
Waals Gewest,2021,2021-01-01,Yearly,3433.0,2440.0,36889.0
Waals Gewest,2022,2022-01-01,Yearly,3117.0,2408.0,37827.0
Waals Gewest,2023,2023-01-01,Yearly,3088.0,2759.0,38367.0
